Data;ICMSb;IPVAc;AIRd;ITCMDe;TAXASf;TOTAL
2020;152415,61;18325,61;0,00;3182,27;6076,55;180000,04
Jan;13605,93;7247,89;0,00;190,64;720,22;21764,68
Fev;12373,77;3133,46;0,00;175,49;484,67;16167,39
Mar;12662,61;2191,58;0,00;186,04;435,11;15475,34
Abr;10964,06;347,53;0,00;144,19;168,80;11624,58
Mai;9518,89;388,05;0,00;169,39;281,22;10357,55
Jun;10509,79;685,88;0,00;300,65;434,50;11930,83
Jul;11907,81;681,14;0,00;237,18;530,98;13357,11
Ago;12844,87;664,47;0,00;229,59;568,07;14306,99
Set;13615,72;800,32;0,00;373,31;616,97;15406,32
Out;14302,19;673,11;0,00;303,87;588,60;15867,77
Nov;15039,52;595,33;0,00;416,27;551,30;16602,41
Dez;15070,45;916,85;0,00;455,66;696,11;17139,07
